Date,Open,High,Low,Close,Volume
"07/22/2025,""132.32"",""132.52"",""131.79"",""131.83"",""27,631"""
"07/21/2025,""132.89"",""133.03"",""132.54"",""132.66"",""11,661"""
"07/18/2025,""133.15"",""133.15"",""132.49"",""132.52"",""23,964"""
"07/17/2025,""132.78"",""133.03"",""132.40"",""133.01"",""21,023"""
"07/16/2025,""131.46"",""132.42"",""130.57"",""130.57"",""31,443"""
"07/15/2025,""132.08"",""133.00"",""131.94"",""132.25"",""28,800"""
"07/14/2025,""131.01"",""131.47"",""130.80"",""131.43"",""10,866"""
"07/11/2025,""131.75"",""131.79"",""130.96"",""131.20"",""17,154"""
"07/10/2025,""131.08"",""131.97"",""131.03"",""131.97"",""19,557"""
"07/09/2025,""130.62"",""131.50"",""130.54"",""131.08"",""14,393"""
"07/08/2025,""130.49"",""131.02"",""130.40"",""130.73"",""15,134"""
"07/07/2025,""130.45"",""131.08"",""130.39"",""130.67"",""12,478"""
"07/04/2025,""130.53"",""130.55"",""130.08"",""130.29"",""13,428"""
"07/03/2025,""130.20"",""131.27"",""130.03"",""131.19"",""10,921"""
"07/02/2025,""130.07"",""130.13"",""129.50"",""129.90"",""13,844"""
"07/01/2025,""129.87"",""129.89"",""129.07"",""129.61"",""44,028"""
"06/30/2025,""130.15"",""130.26"",""129.75"",""129.77"",""20,013"""
"06/27/2025,""129.68"",""130.09"",""129.35"",""130.07"",""31,424"""
"06/26/2025,""128.97"",""129.33"",""128.62"",""129.16"",""12,559"""
"06/25/2025,""129.60"",""129.71"",""129.05"",""129.07"",""19,932"""
"06/24/2025,""129.29"",""129.37"",""128.80"",""129.17"",""22,285"""
"06/23/2025,""127.60"",""128.38"",""127.51"",""127.93"",""20,214"""
"06/20/2025,""128.04"",""128.82"",""127.70"",""127.97"",""72,219"""
"06/19/2025,""128.47"",""128.51"",""127.54"",""127.64"",""15,994"""
"06/18/2025,""128.76"",""129.19"",""128.48"",""128.74"",""12,526"""
"06/17/2025,""128.60"",""129.04"",""128.20"",""128.81"",""23,706"""
"06/16/2025,""128.58"",""129.27"",""128.42"",""129.20"",""25,907"""
"06/13/2025,""128.01"",""129.10"",""127.84"",""128.61"",""25,147"""
"06/12/2025,""129.46"",""129.50"",""128.10"",""129.20"",""12,259"""
