Date;VWCE
12/01/2021;102.19
12/02/2021;100.60
12/03/2021;100.23
12/06/2021;101.29
12/07/2021;103.89
12/08/2021;103.20
12/09/2021;103.50
12/10/2021;102.97
12/13/2021;102.66
12/14/2021;101.77
12/15/2021;101.73
12/16/2021;103.23
12/17/2021;102.72
12/20/2021;100.10
12/21/2021;101.76
12/22/2021;102.71
12/23/2021;103.78
12/27/2021;104.39
12/28/2021;104.92
12/29/2021;104.27
12/30/2021;104.94
01/03/2022;104.93
01/04/2022;105.16
01/05/2022;104.93
01/06/2022;103.40
01/07/2022;102.75
01/10/2022;101.74
01/11/2022;102.97
01/12/2022;103.37
01/13/2022;103.07
01/14/2022;101.76
01/17/2022;102.62
01/18/2022;101.65
01/19/2022;101.20
01/20/2022;102.10
01/21/2022;99.92
01/24/2022;95.95
01/25/2022;97.12
01/26/2022;98.65
01/27/2022;98.85
01/28/2022;98.14
01/31/2022;99.63
02/01/2022;100.60
02/02/2022;100.96
02/03/2022;99.08
02/04/2022;98.01
02/07/2022;98.85
02/08/2022;99.07
02/09/2022;100.57
02/10/2022;100.14
02/11/2022;99.53
02/14/2022;98.43
02/15/2022;99.22
02/16/2022;99.03
02/17/2022;98.66
02/18/2022;97.52
02/21/2022;96.43
02/22/2022;96.65
02/23/2022;96.05
02/24/2022;94.69
02/25/2022;97.46
02/28/2022;97.80
03/01/2022;97.53
03/02/2022;98.32
03/03/2022;97.91
03/04/2022;97.08
03/07/2022;96.50
03/08/2022;94.42
03/09/2022;95.37
03/10/2022;94.91
03/11/2022;95.97
03/14/2022;94.72
03/15/2022;95.45
03/16/2022;97.72
03/17/2022;97.96
03/18/2022;99.39
03/21/2022;99.95
03/22/2022;101.00
03/23/2022;100.84
03/24/2022;100.91
03/25/2022;101.21
03/28/2022;101.63
03/29/2022;102.27
03/30/2022;101.80
03/31/2022;101.75
04/01/2022;101.46
04/04/2022;102.77
04/05/2022;102.90
04/06/2022;101.10
04/07/2022;100.81
04/08/2022;102.03
04/11/2022;100.52
04/12/2022;101.01
04/13/2022;100.68
04/14/2022;101.32
04/19/2022;101.23
04/20/2022;101.15
04/21/2022;101.24
04/22/2022;99.13
04/25/2022;97.26
04/26/2022;97.37
04/27/2022;98.23
04/28/2022;98.77
04/29/2022;99.24
05/02/2022;97.37
05/03/2022;98.51
05/04/2022;97.44
05/05/2022;97.50
05/06/2022;96.10
05/09/2022;93.67
05/10/2022;93.10
05/11/2022;94.34
05/12/2022;93.66
05/13/2022;95.71
05/16/2022;95.33
05/17/2022;95.80
05/18/2022;94.45
05/19/2022;92.61
05/20/2022;92.78
05/23/2022;93.56
05/24/2022;91.57
05/25/2022;93.34
05/26/2022;94.54
05/27/2022;96.21
05/30/2022;96.89
05/31/2022;96.21
06/01/2022;95.97
06/02/2022;96.26
06/03/2022;95.71
06/06/2022;96.74
06/07/2022;96.32
06/08/2022;96.54
06/09/2022;95.74
06/10/2022;93.11
06/13/2022;90.80
06/14/2022;90.38
06/15/2022;91.13
06/16/2022;88.32
06/17/2022;88.60
06/20/2022;88.83
06/21/2022;89.87
06/22/2022;89.41
06/23/2022;89.91
06/24/2022;91.83
06/27/2022;92.32
06/28/2022;92.07
06/29/2022;91.28
06/30/2022;90.53
07/01/2022;90.68
07/04/2022;91.24
07/05/2022;91.09
07/06/2022;92.86
07/07/2022;94.87
07/08/2022;95.26
07/11/2022;94.61
07/12/2022;94.75
07/13/2022;93.44
07/14/2022;92.73
07/15/2022;94.07
07/18/2022;94.46
07/19/2022;94.58
07/20/2022;95.77
07/21/2022;96.03
07/22/2022;95.97
07/25/2022;95.97
07/26/2022;95.81
07/27/2022;96.70
07/28/2022;98.02
07/29/2022;98.55
08/01/2022;98.89
08/02/2022;98.98
08/03/2022;99.79
08/04/2022;99.43
08/05/2022;99.26
08/08/2022;99.97
08/09/2022;98.99
08/10/2022;99.66
08/11/2022;100.47
08/12/2022;101.30
08/16/2022;102.74
08/17/2022;102.03
08/18/2022;102.64
08/19/2022;102.07
08/22/2022;101.55
08/23/2022;100.89
08/24/2022;101.37
08/25/2022;101.87
08/26/2022;100.37
08/29/2022;98.76
08/30/2022;97.69
08/31/2022;97.10
09/01/2022;96.29
09/02/2022;97.68
09/05/2022;97.17
09/06/2022;96.80
09/07/2022;96.56
09/08/2022;97.72
09/09/2022;98.51
09/12/2022;99.16
09/13/2022;97.44
09/14/2022;96.87
09/15/2022;96.26
09/16/2022;94.52
09/19/2022;94.75
09/20/2022;94.66
09/21/2022;95.69
09/22/2022;93.81
09/23/2022;92.80
09/26/2022;92.86
09/27/2022;92.91
09/28/2022;93.13
09/29/2022;90.81
09/30/2022;91.34
10/03/2022;91.28
10/04/2022;93.20
10/05/2022;93.03
10/06/2022;93.82
10/07/2022;91.93
10/10/2022;91.52
10/11/2022;90.77
10/12/2022;90.55
10/13/2022;90.52
10/14/2022;90.90
10/17/2022;91.67
10/18/2022;91.80
10/19/2022;92.03
10/20/2022;92.11
10/21/2022;91.69
10/24/2022;92.31
10/25/2022;93.13
10/26/2022;93.36
10/27/2022;93.17
10/28/2022;93.73
10/31/2022;94.57
11/01/2022;94.75
11/02/2022;94.30
11/03/2022;93.50
11/04/2022;93.06
11/07/2022;93.30
11/08/2022;93.97
11/09/2022;93.17
11/10/2022;95.13
11/11/2022;95.01
11/14/2022;95.13
11/15/2022;95.78
11/16/2022;94.56
11/17/2022;94.10
11/18/2022;94.79
11/21/2022;95.10
11/22/2022;95.76
11/23/2022;96.07
11/24/2022;96.20
11/25/2022;95.96
11/28/2022;95.32
11/29/2022;95.06
11/30/2022;95.87
12/01/2022;96.50
12/02/2022;96.23
12/05/2022;95.45
12/06/2022;94.19
12/07/2022;93.65
12/08/2022;93.95
12/09/2022;94.51
12/12/2022;93.97
12/13/2022;94.93
12/14/2022;94.96
12/15/2022;91.80
12/16/2022;91.14
12/19/2022;90.91
12/20/2022;90.46
12/21/2022;92.13
12/22/2022;90.77
12/23/2022;90.88
12/27/2022;91.10
12/28/2022;90.64
12/29/2022;91.26
12/30/2022;90.44
01/02/2023;92.25
01/03/2023;91.72
01/04/2023;92.34
01/05/2023;92.02
01/06/2023;92.93
01/09/2023;93.64
01/10/2023;92.65
01/11/2023;93.42
01/12/2023;93.73
01/13/2023;93.98
01/16/2023;94.30
01/17/2023;94.43
01/18/2023;94.17
01/19/2023;92.94
01/20/2023;93.62
01/23/2023;94.95
01/24/2023;94.80
01/25/2023;93.96
01/26/2023;95.11
01/27/2023;95.75
01/30/2023;95.28
01/31/2023;95.09
02/01/2023;95.07
02/02/2023;97.04
02/03/2023;97.38
02/06/2023;96.87
02/07/2023;97.01
02/08/2023;97.02
02/09/2023;97.21
02/10/2023;96.74
02/13/2023;97.38
02/14/2023;96.89
02/15/2023;97.55
02/16/2023;97.59
02/17/2023;96.44
02/20/2023;96.66
02/21/2023;95.63
02/22/2023;95.52
02/23/2023;95.60
02/24/2023;94.98
02/27/2023;95.52
02/28/2023;95.14
03/01/2023;94.30
03/02/2023;94.87
03/03/2023;96.31
03/06/2023;96.59
03/07/2023;96.00
03/08/2023;96.00
03/09/2023;95.80
03/10/2023;93.65
03/13/2023;91.82
03/14/2023;92.84
03/15/2023;92.09
03/16/2023;93.40
03/17/2023;92.69
03/20/2023;92.67
03/21/2023;93.25
03/22/2023;93.52
03/23/2023;93.01
03/24/2023;92.66
03/27/2023;93.32
03/28/2023;93.03
03/29/2023;93.87
03/30/2023;94.36
03/31/2023;95.30
04/03/2023;95.47
04/04/2023;94.98
04/05/2023;94.63
04/06/2023;94.83
04/11/2023;95.52
04/12/2023;95.03
04/13/2023;94.95
04/14/2023;95.43
04/17/2023;96.13
04/18/2023;96.13
04/19/2023;95.92
04/20/2023;95.68
04/21/2023;95.41
04/24/2023;95.04
04/25/2023;94.82
04/26/2023;93.97
04/27/2023;94.52
04/28/2023;95.25
05/02/2023;94.38
05/03/2023;94.44
05/04/2023;94.06
05/05/2023;95.22
05/08/2023;95.53
05/09/2023;95.72
05/10/2023;95.64
05/11/2023;95.85
05/12/2023;96.20
05/15/2023;96.59
05/16/2023;96.45
05/17/2023;96.69
05/18/2023;97.92
05/19/2023;97.86
05/22/2023;98.29
05/23/2023;98.02
05/24/2023;96.54
05/25/2023;97.00
05/26/2023;98.34
05/29/2023;98.57
05/30/2023;98.10
05/31/2023;97.52
06/01/2023;98.04
06/02/2023;99.83
06/05/2023;100.06
06/06/2023;100.33
06/07/2023;100.16
06/08/2023;99.69
06/09/2023;100.18
06/12/2023;100.36
06/13/2023;101.37
06/14/2023;101.34
06/15/2023;101.06
06/16/2023;101.39
06/19/2023;100.77
06/20/2023;100.18
06/21/2023;99.71
06/22/2023;99.39
06/23/2023;99.23
06/26/2023;99.07
06/27/2023;99.00
06/28/2023;99.74
06/29/2023;100.13
06/30/2023;100.95
07/03/2023;101.26
07/04/2023;101.43
07/05/2023;101.29
07/06/2023;99.63
07/07/2023;99.65
07/10/2023;99.21
07/11/2023;99.69
07/12/2023;100.24
07/13/2023;100.33
07/14/2023;100.25
07/17/2023;100.08
07/18/2023;100.56
07/19/2023;101.35
07/20/2023;101.35
07/21/2023;101.53
07/24/2023;102.11
07/25/2023;102.58
07/26/2023;102.27
07/27/2023;103.71
07/28/2023;103.55
07/31/2023;103.65
08/01/2023;103.45
08/02/2023;102.20
08/03/2023;101.81
08/04/2023;101.68
08/07/2023;101.46
08/08/2023;101.13
08/09/2023;101.08
08/10/2023;101.47
08/11/2023;100.82
08/14/2023;101.33
08/16/2023;100.42
08/17/2023;99.86
08/18/2023;99.06
08/21/2023;99.03
08/22/2023;100.00
08/23/2023;100.72
08/24/2023;100.45
08/25/2023;100.37
08/28/2023;101.17
08/29/2023;102.02
08/30/2023;101.85
08/31/2023;102.67
09/01/2023;103.14
09/04/2023;103.22
09/05/2023;103.61
09/06/2023;102.74
09/07/2023;102.43
09/08/2023;102.69
09/11/2023;102.78
09/12/2023;102.81
09/13/2023;102.80
09/14/2023;104.18
09/15/2023;103.66
09/18/2023;103.14
09/19/2023;102.65
09/20/2023;102.98
09/21/2023;101.27
09/22/2023;101.46
09/25/2023;101.36
09/26/2023;100.52
09/27/2023;100.86
09/28/2023;100.87
09/29/2023;101.11
10/02/2023;101.06
10/03/2023;99.86
10/04/2023;99.51
10/05/2023;99.40
10/06/2023;99.88
10/09/2023;100.50
10/10/2023;101.95
10/11/2023;101.59
10/12/2023;102.35
10/13/2023;101.70
10/16/2023;102.19
10/17/2023;101.81
10/18/2023;101.24
10/19/2023;100.08
10/20/2023;98.43
10/23/2023;98.10
10/24/2023;98.72
10/25/2023;98.31
10/26/2023;97.51
10/27/2023;96.83
10/30/2023;96.88
10/31/2023;97.57
11/01/2023;98.70
11/02/2023;100.09
11/03/2023;100.67
11/06/2023;100.55
11/07/2023;101.09
11/08/2023;100.68
11/09/2023;101.05
11/10/2023;100.85
11/13/2023;101.45
11/14/2023;102.20
11/15/2023;102.59
11/16/2023;101.86
11/17/2023;102.22
11/20/2023;102.39
11/21/2023;102.39
11/22/2023;103.19
11/23/2023;103.13
11/24/2023;102.87
11/27/2023;102.72
11/28/2023;102.50
11/29/2023;102.65
11/30/2023;103.14
12/01/2023;104.15
12/04/2023;104.02
12/05/2023;104.45
12/06/2023;104.64
12/07/2023;104.64
12/08/2023;105.25
12/11/2023;105.69
12/12/2023;105.58
12/13/2023;105.93
12/14/2023;106.01
12/15/2023;106.77
12/18/2023;106.66
12/19/2023;106.85
12/20/2023;107.08
12/21/2023;106.34
12/22/2023;106.67
12/27/2023;106.30
12/28/2023;106.97
12/29/2023;106.62
01/02/2024;107.00
01/03/2024;106.59
01/04/2024;106.59
01/05/2024;106.43
01/08/2024;106.57
01/09/2024;107.10
01/10/2024;107.06
01/11/2024;106.76
01/12/2024;107.55
01/15/2024;107.54
01/16/2024;107.71
01/17/2024;106.78
01/18/2024;107.22
01/19/2024;107.64
01/22/2024;108.67
01/23/2024;108.90
01/24/2024;109.55
01/25/2024;110.04
01/26/2024;110.14
01/29/2024;110.51
01/30/2024;110.69
01/31/2024;110.12
02/01/2024;109.79
02/02/2024;111.27
02/05/2024;111.48
02/06/2024;112.07
02/07/2024;112.46
02/08/2024;112.41
02/09/2024;112.58
02/12/2024;113.60
02/13/2024;112.45
02/14/2024;112.70
02/15/2024;113.14
02/16/2024;113.67
02/19/2024;113.51
02/20/2024;112.50
02/21/2024;112.39
02/22/2024;114.14
02/23/2024;114.55
02/26/2024;114.12
02/27/2024;113.96
02/28/2024;113.91
02/29/2024;114.21
03/01/2024;115.08
03/04/2024;114.91
03/05/2024;114.08
03/06/2024;114.66
03/07/2024;115.07
03/08/2024;115.09
03/11/2024;114.43
03/12/2024;115.45
03/13/2024;115.38
03/14/2024;115.44
03/15/2024;114.79
03/18/2024;115.67
03/19/2024;115.82
03/20/2024;116.08
03/21/2024;117.73
03/22/2024;117.64
03/25/2024;117.30
03/26/2024;117.55
03/27/2024;117.44
03/28/2024;118.27
04/02/2024;117.46
04/03/2024;117.54
04/04/2024;117.65
04/05/2024;116.82
04/08/2024;117.17
04/09/2024;116.60
04/10/2024;117.07
04/11/2024;117.24
04/12/2024;117.63
04/15/2024;117.33
04/16/2024;115.55
04/17/2024;114.92
04/18/2024;115.26
04/19/2024;114.28
04/22/2024;114.48
04/23/2024;115.70
04/24/2024;115.72
04/25/2024;114.50
04/26/2024;116.50
04/29/2024;116.57
04/30/2024;116.24
05/02/2024;115.76
05/03/2024;116.54
05/06/2024;117.39
05/07/2024;118.07
05/08/2024;118.05
05/09/2024;118.26
05/10/2024;118.69
05/13/2024;118.60
05/14/2024;118.58
05/15/2024;119.34
05/16/2024;119.78
05/17/2024;119.56
05/20/2024;120.12
05/21/2024;119.80
05/22/2024;119.90
05/23/2024;119.84
05/24/2024;119.44
05/27/2024;119.65
05/28/2024;119.21
05/29/2024;118.65
05/30/2024;118.23
05/31/2024;117.52
06/03/2024;118.38
06/04/2024;117.99
06/05/2024;119.45
06/06/2024;119.88
06/07/2024;120.44
06/10/2024;120.95
06/11/2024;120.69
06/12/2024;121.34
06/13/2024;121.29
06/14/2024;121.69
06/17/2024;121.74
06/18/2024;122.39
06/19/2024;122.61
06/20/2024;123.07
06/21/2024;122.69
06/24/2024;122.89
06/25/2024;122.73
06/26/2024;122.76
06/27/2024;122.75
06/28/2024;123.19
07/01/2024;122.53
07/02/2024;122.68
07/03/2024;123.14
07/04/2024;123.42
07/05/2024;123.37
07/08/2024;123.67
07/09/2024;123.87
07/10/2024;124.38
07/11/2024;124.23
07/12/2024;124.84
07/15/2024;124.70
07/16/2024;124.86
07/17/2024;123.56
07/18/2024;122.93
07/19/2024;122.15
07/22/2024;122.73
07/23/2024;123.71
07/24/2024;121.69
07/25/2024;121.08
07/26/2024;121.38
07/29/2024;121.61
07/30/2024;121.58
07/31/2024;123.53
08/01/2024;122.24
08/02/2024;117.42
08/05/2024;114.78
08/06/2024;115.66
08/07/2024;117.41
08/08/2024;117.58
08/09/2024;118.06
08/12/2024;118.32
08/13/2024;119.34
08/14/2024;119.52
08/16/2024;121.74
08/19/2024;122.15
08/20/2024;121.66
08/21/2024;121.88
08/22/2024;121.93
08/23/2024;122.06
08/26/2024;121.97
08/27/2024;122.11
08/28/2024;122.05
08/29/2024;123.39
08/30/2024;123.00
09/02/2024;123.66
09/03/2024;122.37
09/04/2024;121.11
09/05/2024;120.42
09/06/2024;118.76
09/09/2024;120.04
09/10/2024;120.35
09/11/2024;119.71
09/12/2024;121.84
09/13/2024;122.69
09/16/2024;122.18
09/17/2024;122.89
09/18/2024;122.30
09/19/2024;124.03
09/20/2024;123.33
09/23/2024;124.15
